學生代碼,學校代碼,教師代碼_國文,教師代碼_英文,教師代碼_數學,班級代碼_國文,班級代碼_英文,班級代碼_數學,班級代碼,每周作業頻率_國文,每周作業頻率標準化_國文,每周作業頻率_英文,每周作業頻率標準化_英文,每周作業頻率_數學,每周作業頻率標準化_數學,作業頻率標準化平均值,作業類型_做習題_國文,做習題標準化_國文,作業類型_作文練習_國文,作文練習標準化_國文,作業類型_剪報或蒐集資料_國文,剪報或蒐集資料標準化_國文,作業類型_聽演講、參觀展覽或看表演_國文,聽演講、參觀展覽或看表演標準化_國文,作業類型_分組專題活動_國文,分組專題活動標準化_國文,作業類型_做習題_英文,做習題標準化_英文,作業類型_作文練習_英文,作文練習標準化_英文,作業類型_剪報或蒐集資料_英文,剪報或蒐集資料標準化_英文,作業類型_聽演講、參觀展覽或看表演_英文,聽演講、參觀展覽或看表演標準化_英文,作業類型_分組專題活動_英文,分組專題活動標準化_英文,作業類型_做習題_數學,做習題標準化_數學,作業類型_作文練習_數學,作文練習標準化_數學,作業類型_剪報或蒐集資料_數學,剪報或蒐集資料標準化_數學,作業類型_聽演講、參觀展覽或看表演_數學,聽演講、參觀展覽或看表演標準化_數學,作業類型_分組專題活動_數學,分組專題活動標準化_數學,作業經常次數_國文,作業經常次數_英文,作業經常次數_數學,綜合分析能力測驗答對題數,一般分析能力測驗答對題數,數學分析能力測驗答對題數,跟得上進度_國文,用功程度_國文,作業表現_國文,跟得上進度_英文,用功程度_英文,作業表現_英文,跟得上進度_數學,用功程度_數學,作業表現_數學
368,1,1,3,7,3188,3188,3188,3188,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,5,,1,1,1,43,18,23,2,2,4,2,2,4,1,1,4
652,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,45,18,21,3,4,3,2,2,3,2,2,3
831,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,37,15,22,3,3,3,2,3,3,3,3,4
1416,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,35,11,15,3,4,1,2,2,3,2,2,4
1709,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,54,21,25,2,2,4,2,2,3,2,2,3
2485,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,34,7,17,2,2,4,2,2,3,2,2,3
2847,1,26,22,15,2202,2202,2202,2202,1,1.5,1,1.5,1,1.5,1.5,1,1,3,0.33,3,0.33,3,0.33,3,0.33,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,4,0,3,0.33,1,1,1,23,9,11,3,3,2,2,2,3,3,3,3
3055,1,8,5,19,2969,2969,2969,2969,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,2,0.66,3,0.33,4,0,4,0,1,1,5,,5,,5,,3,0.33,2,0.66,5,,3,0.33,3,0.33,3,0.33,0,1,0,50,20,21,2,2,4,2,2,4,2,2,3
3332,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,41,15,22,2,2,4,2,2,4,2,2,3
3414,1,1,3,7,3188,3188,3188,3188,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,4,0,4,0,4,0,4,0,1,1,5,,5,,5,,5,,1,1,1,32,13,16,2,2,4,3,2,4,3,3,3
3428,1,16,10,6,3911,3911,3911,3911,1,1.5,1,1.5,2,3.5,2.166666667,1,1,2,0.66,3,0.33,4,0,4,0,1,1,3,0.33,4,0,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,1,1,1,44,17,23,2,2,4,2,2,4,2,3,3
4389,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,42,16,24,2,3,4,2,2,3,1,2,3
5026,1,13,21,9,3166,3166,3166,3166,1,1.5,1,1.5,2,3.5,2.166666667,1,1,3,0.33,2,0.66,5,,5,,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,4,0,3,0.33,3,0.33,3,0.33,1,0,1,30,7,18,2,,4,2,2,3,2,2,4
5098,1,2,20,25,2841,2841,2841,2841,1,1.5,1,1.5,2,3.5,2.166666667,2,0.66,1,1,3,0.33,3,0.33,3,0.33,1,1,2,0.66,2,0.66,2,0.66,2,0.66,1,1,5,,5,,5,,5,,1,1,1,49,18,24,2,3,3,2,2,4,1,2,3
5107,1,27,21,18,3228,3228,3228,3228,1,1.5,1,1.5,3,5.5,2.833333333,2,0.66,2,0.66,2,0.66,3,0.33,2,0.66,2,0.66,3,0.33,3,0.33,3,0.33,3,0.33,1,1,5,,5,,5,,4,0,0,0,1,39,13,22,2,3,3,3,3,3,2,2,3
5206,1,4,22,23,2015,2015,2015,2015,2,3.5,1,1.5,3,5.5,3.5,1,1,1,1,1,1,3,0.33,2,0.66,1,1,97,,4,0,4,0,4,0,1,1,5,,5,,5,,5,,3,1,1,25,7,14,2,3,3,2,3,3,3,4,3
