stud_id,w2sch_id,w2chin_id,w2ctch_id,w1w2chg,w2pgrm,w2clspgm,w2far,w2priv,w2urban3,w2stwt1,w2stwt2,w2nright,w2all3p,w2all3ps,w2cfree,w2cf3p,w2cf3ps,w2math,w2m3p,w2m3ps,w1w2plus,w1w2minus,w2link,w2illp,w2ctc01,w2ctc02,w2ctc03,w2ctc04,w2ctc05,w2ctc06,w2ctc07,w2ctc08,w2ctc09,w2ctc10,w2ctc11,w2ctc12,w2ctc13,w2ctc14,w2ctc15,w2ctc16,w2ctc17,w2ctc18,w2ctc19,w2ctc20,w2ctc21a,w2ctc22a,hw_average,w2ctc23,w2ctc24,w2ctc25,w2ctc26,w2ctc27,w2ctc28,w2ctc29,w2ctc31,w2ctc32,w2ctc33,w2ctc34,w2ctc35,w2ctc36,w2ctc37,w2ctc38,w2ctc39,w2ctc40,w2ctc41,w2ctc42,w2ctc43,w2summis,w2sumerr
1,316,4020,8,0,1,1,0,0,2,0.728373766,0.860733211,20,-0.502440691,0.476568013,6,-1.384340882,0.774595976,9,-0.277941346,0.488077015,4,5,6,0.000204412,1,6,1,5,2,2,3,2,1,2,1,1,2,2,3,3,2,1,3,3,5,1,1.608771118,2,5,2,1,2,4,3,3,1,2,2,2,4,1,2,1,1,1,2,3,0,0
2,344,4069,12,0,1,1,0,0,2,0.789576709,2.28E-07,26,0.577332914,0.340631008,7,-0.31876719,0.544139981,13,0.633574069,0.408986002,3,6,9,0.999999756,1,3,1,1,1,2,5,5,1,2,1,2,3,99,3,4,1,2,4,4,3,1,,2,5,1,3,4,4,4,3,1,1,2,2,4,2,2,1,1,1,1,3,1,0
3,502,2063,9,0,1,1,0,0,3,0.867595851,1.025464177,47,2.230810642,0.26443699,17,2.048851013,0.456138998,22,1.915399194,0.344736993,3,1,14,2.03E-18,1,6,1,1,3,3,4,2,1,1,1,1,1,1,3,3,2,3,2,2,1,1,,2,5,2,2,3,3,3,4,1,1,4,1,2,1,1,1,1,1,1,1,0,0
4,446,3071,6,0,1,1,0,0,3,1.634990335,1.932494283,55,3.257024527,0.341877013,22,3.977646112,0.488532007,25,2.623164654,0.427632004,9,0,19,5.79E-47,1,5,1,1,3,3,3,3,1,2,1,1,2,2,4,4,2,2,2,2,2,1,,3,5,1,2,3,4,3,2,1,1,2,2,2,2,2,1,1,2,1,2,0,0
5,82,3526,7,0,1,1,0,1,2,0.228961125,2.73E-11,19,-0.228396609,0.36035201,7,-0.105725683,0.565641999,11,-0.140479326,0.423142999,5,10,8,1,1,5,1,1,1,3,3,6,1,2,1,1,2,2,2,3,2,2,2,3,2,1,,3,5,1,2,3,4,4,4,3,2,2,3,4,1,2,2,2,2,2,2,0,0
7,307,3759,4,0,1,1,0,0,2,2.727834463,1.11E-05,22,0.053363711,0.352811009,9,-0.222720727,0.540894985,6,-0.783005893,0.538432002,4,5,10,0.999996545,1,5,1,1,3,3,4,2,2,2,1,1,1,2,3,3,2,1,2,2,4,3,,2,1,2,2,2,3,3,1,1,1,2,3,4,1,2,2,1,2,1,3,0,0
8,537,2769,2,0,1,1,0,0,3,0.762995481,0.000313988,27,-0.201276764,0.457414001,8,-0.948837876,0.652904987,11,-0.93995893,0.656517029,3,4,9,0.999651833,1,5,1,5,1,3,4,2,1,2,1,2,3,2,2,3,3,1,3,4,3,1,,3,5,2,4,4,4,4,3,2,3,2,3,3,1,2,2,2,3,3,3,0,0
9,487,3763,22,0,1,1,0,0,2,0.466344923,0.551201403,17,-0.626764774,0.401039004,7,-0.439648122,0.544766009,10,-0.357241005,0.416213006,6,1,6,2.93E-15,1,6,1,1,3,2,5,3,1,2,1,2,2,2,3,3,1,1,3,3,1,1,,2,1,1,1,2,3,3,2,2,2,2,3,3,1,2,1,1,2,3,4,0,0
10,592,2284,9,0,1,1,0,0,3,1.364863753,1.613215327,42,1.985962749,0.251944005,14,1.689975381,0.492069006,22,2.115322351,0.363891989,7,3,13,8.66E-23,1,5,1,5,2,2,5,2,1,3,1,3,2,3,2,3,3,1,3,3,2,1,,1,5,3,2,3,4,4,4,2,2,3,2,2,1,2,2,2,2,2,3,0,0
11,468,2842,10,0,1,1,0,0,3,1.75209105,2.070902109,25,-0.645472348,0.492168993,7,-1.512176871,0.669790983,12,-0.394373149,0.475912005,4,4,5,3.33E-07,1,6,1,1,3,2,3,3,1,3,1,2,1,2,3,2,1,1,3,3,1,1,,2,1,2,2,2,3,3,3,1,1,3,2,2,1,1,1,1,1,1,1,0,0
12,439,2095,9,0,1,1,1,0,1,1.659923434,3.46E-09,12,-1.796994567,0.558399022,5,-1.840222836,0.813075006,5,-1.410198808,0.560181975,3,7,3,0.999999998,1,5,1,1,3,2,4,5,1,3,1,3,2,3,3,3,3,2,4,3,1,1,,2,5,1,2,3,3,3,4,1,2,2,2,1,2,1,3,3,4,4,4,0,0
15,142,2254,5,0,1,1,0,0,3,0.429184914,0.507279694,48,2.398952246,0.263134986,17,2.176394463,0.422742009,26,3.161802769,0.518226981,2,1,15,9.65E-16,1,6,1,1,1,2,2,3,1,2,1,1,3,4,4,4,2,1,3,3,2,1,,2,5,1,2,3,2,4,4,2,2,4,2,4,1,2,3,1,1,2,4,0,0
16,372,3546,3,0,1,1,0,1,2,0.662250876,0.782754481,31,1.112620592,0.252440989,9,0.248114631,0.59276402,18,1.302117467,0.310321987,7,5,11,1.16E-13,1,5,1,5,1,3,4,3,1,3,1,1,3,3,3,4,1,2,4,3,1,1,,2,5,1,3,3,4,3,4,1,2,2,2,3,2,2,1,1,1,3,4,0,0
17,304,3253,3,0,1,1,0,0,3,0.924223602,1.092396021,39,1.536757946,0.263440013,16,2.115234613,0.436031014,19,1.523039222,0.339130998,7,0,14,2.67E-29,1,5,1,3,2,3,4,3,1,2,1,3,3,3,3,4,2,2,4,4,1,1,,2,1,1,2,3,3,3,2,1,2,2,2,3,1,1,1,1,1,2,2,0,0
18,431,3422,8,0,1,1,0,0,2,1.32917738,1.571033478,20,-0.232865483,0.369578987,8,-0.231075853,0.572017014,11,-0.095981367,0.417338014,4,3,7,1.25E-06,1,5,1,5,1,3,4,3,1,2,2,2,3,4,3,3,2,1,3,3,3,1,,3,1,2,2,3,4,4,3,1,2,2,3,2,1,2,3,3,3,4,4,0,0
19,72,3140,4,0,1,1,0,0,3,1.408411741,1.664687276,33,0.993332326,0.283306986,10,-0.15831022,0.563051999,18,1.246914148,0.362159014,6,4,10,1.31E-18,1,5,1,5,2,2,4,2,1,2,1,1,3,3,4,3,3,1,3,3,4,1,,1,1,2,2,3,3,3,3,2,2,2,2,3,1,3,2,1,1,3,2,0,0
20,625,2577,2,0,1,1,0,0,2,4.153679371,4.90948534,43,1.856213331,0.246916994,16,1.907719731,0.540566027,25,2.885964394,0.466080993,5,2,13,9.84E-17,1,5,1,5,2,3,2,2,1,1,1,2,2,2,2,4,2,2,3,2,4,2,,2,5,1,2,2,3,4,2,1,1,2,3,4,1,1,1,1,1,2,3,0,0
21,398,4103,10,0,1,1,0,0,2,0.229219377,0.000247025,20,-0.478571653,0.369645,11,0.424957365,0.533909976,10,-0.454301983,0.44017601,3,4,8,0.999088227,1,2,1,3,2,2,3,5,1,2,1,2,2,2,3,3,2,2,3,3,2,1,,2,1,1,2,3,3,3,4,1,1,3,1,3,2,2,1,1,2,2,1,0,0
22,332,2045,13,0,1,1,0,0,2,1.841654301,2.176763058,31,0.795400798,0.31803,12,0.433619618,0.526902974,13,0.427745104,0.453449994,7,2,12,7.01E-21,1,4,1,5,2,2,4,3,1,2,1,3,2,3,3,4,3,1,2,2,4,1,,2,1,3,2,2,4,4,3,1,2,3,2,2,2,2,1,1,2,3,4,0,0
24,478,2013,9,0,1,1,0,0,3,0.985838532,8.93E-06,26,0.049540218,0.430534005,12,1.188814998,0.534986973,13,0.356414407,0.401351988,3,5,8,0.999992337,1,6,1,1,2,3,4,2,1,2,1,1,2,2,3,3,1,1,3,3,4,1,,1,1,1,2,3,3,3,1,1,2,3,2,2,1,2,1,1,1,2,3,0,0
25,523,3158,2,0,1,1,0,0,3,0.766265452,0.905695677,29,0.240786776,0.364205986,13,0.799639642,0.568324029,12,-0.281518012,0.511358976,10,3,14,2.94E-28,1,5,1,1,2,2,4,3,1,2,1,1,2,2,2,3,3,2,3,2,2,1,,2,1,2,2,3,3,3,4,1,1,2,1,3,1,1,1,1,1,1,2,0,0
26,328,2291,2,0,1,1,0,0,3,1.257911325,1.486801744,52,2.766426563,0.299019009,17,2.225205183,0.414200008,22,2.129590988,0.36996001,4,2,15,3.36E-19,1,6,1,1,2,2,3,2,1,1,1,2,2,2,3,2,3,2,4,3,5,2,,3,5,2,2,5,3,3,3,2,2,3,3,5,2,2,1,1,1,2,1,0,0
27,38,3531,1,0,1,1,0,1,3,1.029643655,1.216998339,33,1.167439818,0.268142015,12,1.067137122,0.556755006,18,1.395079136,0.343223989,9,1,13,9.74E-37,1,6,1,5,1,2,4,3,1,2,1,2,2,2,3,4,1,2,3,3,2,1,,2,4,1,2,3,4,4,1,1,1,2,2,4,1,1,1,1,1,3,3,0,0
28,524,3515,2,0,1,1,0,0,3,0.59973979,0.708868861,23,-0.203394786,0.448538989,11,-0.090417087,0.621963978,10,-0.383648366,0.534434974,6,3,8,1.05E-13,1,6,1,3,3,3,4,3,1,1,1,1,1,1,2,3,2,2,2,2,2,1,,2,1,2,2,2,2,3,3,1,1,2,1,3,1,2,1,1,2,3,3,0,0
29,378,3333,6,0,1,1,0,1,2,0.908575892,1.073900938,32,0.841069043,0.248586997,14,1.408199787,0.541517019,13,0.473753005,0.335592002,8,1,12,7.76E-27,1,2,1,1,1,4,4,3,1,2,1,1,2,2,2,3,1,2,3,4,3,1,,3,6,1,2,3,4,4,99,3,1,2,2,1,2,3,1,1,1,2,3,1,0
30,465,3888,4,0,1,1,0,0,3,0.759394586,0.897574544,52,2.602919817,0.277630001,20,3.826832771,0.451402009,26,2.981565475,0.487190992,7,2,16,3.69E-26,1,6,1,5,2,3,4,3,1,2,1,2,2,99,4,3,2,3,3,3,1,1,,3,2,1,2,3,5,5,1,1,99,3,2,3,1,1,1,1,2,2,4,2,0
31,391,4056,9,0,1,1,0,0,3,1.314068317,1.553176999,33,1.200813413,0.26720801,11,0.457942933,0.553716004,16,1.270650506,0.358218014,7,1,13,1.00E-25,1,5,1,5,2,3,2,2,1,3,1,1,2,3,4,4,3,1,3,3,5,1,,1,1,1,3,3,3,4,4,1,1,3,3,4,1,2,2,1,1,3,4,0,0
32,304,2643,8,0,1,1,0,0,3,0.952230513,0.002892728,16,-1.013578176,0.505979002,8,-1.069562554,0.736811996,6,-1.265015721,0.607478976,3,5,5,0.997429826,1,5,1,5,1,3,3,5,1,2,1,1,2,3,1,4,2,2,3,3,3,1,,2,5,2,3,4,4,3,2,1,2,4,3,4,1,2,2,1,2,2,2,0,0
33,395,3484,7,0,1,1,1,0,2,1.326660037,1.56806004,32,0.847700894,0.261819988,13,1.050510883,0.53549999,14,0.570229173,0.315008014,9,1,12,3.56E-34,1,3,1,5,1,2,3,2,2,2,1,2,2,3,3,4,2,1,2,3,3,1,,3,6,2,4,3,4,3,2,2,2,2,2,4,1,2,1,1,1,3,3,0,0
34,518,3824,4,0,1,1,0,0,2,5.532701015,6.517802715,16,-1.145002007,0.551527023,6,-1.111409068,0.670096993,7,-1.074294209,0.596867025,4,4,5,0.00330802,1,4,1,5,1,3,2,1,1,2,1,1,3,3,3,4,1,2,3,3,2,1,,2,5,1,2,3,4,3,3,1,2,3,2,4,1,2,2,2,2,3,2,0,0
35,582,2901,10,0,1,1,0,0,3,0.764357924,0.903441012,37,1.62526083,0.251823008,7,-0.662051082,0.707415998,20,1.852116346,0.354148,6,3,11,3.10E-17,1,5,1,1,2,2,2,2,1,2,1,3,3,2,3,3,2,2,2,3,1,6,,3,5,3,2,3,3,3,3,3,2,3,2,3,1,2,2,2,2,2,3,0,0
36,319,2451,6,0,1,1,0,0,3,0.569937885,0.673644185,41,1.769114137,0.241781995,16,2.22976923,0.413028985,21,1.730895996,0.326379001,7,1,15,1.88E-25,1,3,1,3,2,2,4,5,1,3,1,3,1,3,3,3,3,1,2,2,4,2,,3,6,1,3,3,4,4,4,1,1,2,2,3,1,2,1,1,2,3,3,0,0
