stud_id,w2sch_id,w2cls_id,w2td01,w2td02,w2td03,w2td04,w2td05,w2td06,w2td07,w2td08,w2td09,w2td10,w2td11,w2td12,w2td13,w2td14,w2td15,w2tcs1,w2tcs2,w2tcs3,w2tcs4,w2tcs5,w2tes1,w2tes2,w2tes3,w2tes4,w2tes5,w2tms1,w2tms2,w2tms3,w2tms4,w2tms5,w2sumerr,w2summis
00001,316,3366,3,3,4,3,3,3,4,4,4,5,4,1,3,1,2,4,4,1,4,5,4,3,3,4,4,4,4,3,4,4,0,0
00002,344,3433,2,3,4,4,4,2,3,2,3,2,3,2,3,2,2,2,2,4,3,2,2,2,4,1,1,2,3,4,2,2,0,0
00003,502,2063,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,2,4,2,2,2,2,3,3,3,2,2,4,3,2,0,0
00004,446,3071,2,3,2,2,2,3,2,2,3,2,3,4,4,3,3,2,1,4,4,1,1,1,4,1,1,1,2,4,3,1,0,0
00005,082,3526,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,4,4,3,2,2,3,4,2,2,3,4,4,2,0,0
00007,307,3759,3,3,4,4,3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,5,0,0
00008,537,2769,2,2,3,3,2,4,3,2,2,3,4,3,4,1,4,2,2,3,2,3,3,3,2,4,3,2,1,4,1,2,0,0
00009,487,3763,2,3,2,2,2,2,2,3,2,3,1,3,4,2,3,2,2,4,3,2,99,99,99,99,99,99,99,99,99,99,0,10
00010,592,2284,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,3,4,3,2,2,4,2,3,2,2,4,4,2,0,0
00011,468,2842,3,3,4,3,3,3,3,4,3,4,3,3,3,2,3,2,3,4,4,3,4,4,3,4,5,3,4,3,4,4,0,0
00012,439,2095,3,3,3,2,2,4,2,6,3,2,3,4,4,97,97,2,3,4,4,2,2,3,4,4,3,2,2,4,4,3,2,0
00015,142,2254,2,3,2,2,1,2,2,1,1,1,2,5,4,4,3,2,1,4,1,1,1,1,4,3,1,1,1,4,1,1,0,0
00016,372,3546,2,3,3,2,3,3,2,2,2,2,3,3,4,3,3,3,3,3,4,3,4,3,4,4,3,2,2,4,3,3,0,0
00017,304,3253,1,3,2,1,1,1,1,2,1,1,2,3,4,3,3,2,1,4,3,1,1,2,4,3,1,2,2,97,3,2,1,0
00018,431,3422,2,3,2,2,2,2,2,2,2,3,3,3,4,3,3,2,3,4,3,2,3,4,4,4,4,4,3,4,3,2,0,0
00019,072,3140,3,6,5,5,3,4,4,5,3,5,3,2,2,2,3,4,4,2,4,5,4,4,1,4,5,4,4,3,4,5,0,0
00020,625,2577,4,2,3,3,2,3,2,3,2,3,2,2,4,3,3,2,3,3,4,4,4,4,1,4,4,3,3,2,4,4,0,0
00021,398,2563,2,3,4,3,3,4,3,3,3,2,2,4,4,3,4,3,2,3,3,4,3,2,5,5,4,3,3,3,4,3,0,0
00022,332,2045,2,6,2,2,2,1,2,3,1,2,2,3,4,2,3,2,2,3,2,3,2,2,4,3,2,3,3,4,3,3,0,0
00024,478,2013,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,4,3,3,3,4,4,3,2,2,4,3,3,0,0
00025,523,3158,3,3,4,4,3,4,3,4,3,3,2,3,4,3,4,3,4,3,4,4,3,3,4,4,4,3,3,3,4,4,0,0
00026,328,2291,2,3,3,3,3,3,3,3,3,2,3,4,4,4,3,2,2,3,3,1,2,2,4,3,2,2,1,4,2,2,0,0
00027,038,3531,2,6,3,3,3,3,2,3,3,3,1,2,4,3,97,2,2,3,2,3,2,2,3,3,3,2,3,3,3,3,1,0
